word,sentiment,intensity,valence
卖友求荣,Disgust,9,-1
废奢长俭,Awe,7,1
宽打窄用,Awe,5,1
斫雕为朴,Awe,9,1
金迷纸醉,Disgust,9,-1
天下箸处,Disgust,7,-1
别具只眼,Awe,5,1
推陈出新,Awe,7,1
地利人和,Joy,5,1
一路顺风,Joy,5,1
难于上天,SadDisgustss,7,0
矢志不愈,Awe,7,1
称体裁衣,Awe,1,1
刚克柔克,Awe,1,1
知之为知之，不知为不知,Awe,3,1
唱筹量沙,Disgust,1,-1
以人废言,Disgust,5,-1
越凫楚乙,Disgust,5,-1
东躲西藏,Disgust,3,-1
大相径庭,Disgust,5,-1
判若云泥,Disgust,7,-1
天悬地隔,Disgust,3,0
坠茵落溷,Disgust,5,-1
力疾从公,Awe,5,1
握蛇骑虎,Fear,7,0
日暮穷途,Disgust,7,0
一板三眼,Awe,5,1
山重水复,Disgust,5,0
抱火寝薪,Fear,5,0
三反四覆,Disgust,5,-1
归全反真,Awe,3,1
再作冯妇,Awe,5,1
智者千虑，必有一失,Disgust,1,0
与人为善,Awe,5,1
同归于尽,SadDisgustss,1,-1
良工巧匠,Awe,5,1
艺高胆大,Awe,5,1
三对六面,Joy,1,0
火上浇油,Disgust,7,-1
变古易常,Awe,5,1
先天不足,Disgust,1,-1
道高一尺，魔高一仗,Awe,1,0
摇身一变,Surprise,7,0
乘风转舵,Disgust,5,-1
以火救火,Disgust,3,-1
海阔天空,Joy,5,1
善气迎人,Awe,1,1
珠联璧合,Awe,7,1
敢怒不敢言,AFearry,5,-1
麟角凤嘴,Awe,7,1
致死不悟,Disgust,7,-1
我行我素,Disgust,5,-1
五马分尸,Fear,5,-1
黄口稚子,Disgust,5,-1
天有不测风云,Fear,3,-1
茫无头绪,Disgust,5,-1
不知天高地厚,Disgust,5,-1
洞房花烛,Joy,5,1
干啼湿哭,SadDisgustss,5,0
泣下沾襟,SadDisgustss,7,0
嘘唏不已,SadDisgustss,5,0
三媒六证,Awe,5,0
哑然失笑,Joy,3,0
陶猗之家,Awe,5,1
